x 0 1 2 3 4 5 6 7 
690.000000 7.480840 25.397852 9.260533 3.971946 25.421898 17.664920 6.481568 6.481568 
700.000000 7.584851 25.760928 9.392955 4.031000 25.778817 17.921528 6.575368 6.575368 
710.000000 7.694991 26.120358 9.527280 4.088235 26.153893 18.182932 6.669168 6.669168 
720.000000 7.801575 26.479145 9.661508 4.146785 26.510598 18.440873 6.762968 6.762968 
730.000000 7.907099 26.844257 9.792210 4.206056 26.871378 18.690020 6.856768 6.856768 
740.000000 8.015764 27.206421 9.925451 4.264082 27.239949 18.945162 6.950567 6.950567 
750.000000 8.124202 27.569068 10.062051 4.321909 27.596510 19.192577 7.044367 7.044367 
760.000000 8.231731 27.929248 10.199241 4.378754 27.968513 19.450384 7.138167 7.138167 
770.000000 8.342666 28.302723 10.329171 4.436246 28.343660 19.714320 7.231967 7.231967 
780.000000 8.450612 28.668801 10.465495 4.493383 28.708586 19.969196 7.325767 7.325767 
790.000000 8.556666 29.021852 10.593884 4.553709 29.074083 20.223539 7.419567 7.419567 
800.000000 8.664725 29.386428 10.727451 4.611955 29.434219 20.478815 7.513366 7.513366 
810.000000 8.772785 29.742910 10.860909 4.670525 29.796428 20.733025 7.607166 7.607166 
820.000000 8.879671 30.097944 10.997208 4.728429 30.160925 20.987635 7.700966 7.700966 
830.000000 8.986028 30.459304 11.128462 4.786892 30.528709 21.255967 7.794766 7.794766 
840.000000 9.090947 30.810372 11.260668 4.846883 30.880482 21.514174 7.888566 7.888566 
850.000000 9.197077 31.166371 11.391309 4.906735 31.234399 21.773846 7.982366 7.982366 
860.000000 9.302071 31.535289 11.526874 4.963723 31.607116 22.029788 8.076165 8.076165 
870.000000 9.407217 31.896864 11.661897 5.021955 31.963892 22.291726 8.169965 8.169965 
880.000000 9.513196 32.259349 11.790961 5.081618 32.327102 22.544470 8.263765 8.263765 
890.000000 9.628709 32.642473 11.922709 5.137510 32.709326 22.797481 8.357565 8.357565 
900.000000 9.738433 33.009569 12.053916 5.195486 33.081329 23.053156 8.451365 8.451365 
910.000000 9.841384 33.368999 12.187097 5.254073 33.445825 23.318824 8.545165 8.545165 
920.000000 9.947665 33.739312 12.319568 5.312163 33.815612 23.562642 8.638964 8.638964 
930.000000 10.060454 34.108444 12.456216 5.368675 34.179107 23.815386 8.732764 8.732764 
940.000000 10.171503 34.471788 12.591974 5.425845 34.537099 24.082386 8.826564 8.826564 
950.000000 10.279978 34.839741 12.722458 5.484105 34.910030 24.335131 8.920364 8.920364 
960.000000 10.393410 35.204425 12.856891 5.541678 35.269666 24.587342 9.014164 9.014164 
970.000000 10.498140 35.575005 12.989940 5.600208 35.627371 24.834757 9.107964 9.107964 
980.000000 10.604459 35.947569 13.123446 5.657862 35.996514 25.084037 9.201763 9.201763 
990.000000 10.715659 36.318524 13.257024 5.715475 36.358152 25.334250 9.295563 9.295563 
1000.000000 10.821864 36.675328 13.390615 5.774445 36.716643 25.584729 9.389363 9.389363 
1010.000000 10.931210 37.037492 13.521544 5.833262 37.079853 25.840005 9.483163 9.483163 
1020.000000 11.044188 37.411717 13.658469 5.889489 37.438417 26.095414 9.576963 9.576963 
1030.000000 11.153269 37.774310 13.793143 5.947498 37.796480 26.349890 9.670763 9.670763 
1040.000000 11.260988 38.136742 13.924470 6.006674 38.156473 26.597305 9.764562 9.764562 
1050.000000 11.368479 38.500514 14.059626 6.063977 38.524186 26.855912 9.858362 9.858362 
1060.000000 11.476425 38.857639 14.185199 6.124921 38.885823 27.105192 9.952162 9.952162 
1070.000000 11.584712 39.215408 14.313649 6.184604 39.248961 27.363665 10.045962 10.045962 
1080.000000 11.692014 39.576500 14.449502 6.242424 39.608525 27.621606 10.139762 10.139762 
1090.000000 11.799884 39.940111 14.582298 6.300677 39.971878 27.879546 10.233562 10.233562 
1100.000000 11.907906 40.301578 14.716382 6.358595 40.342808 28.128427 10.327361 10.327361 
1110.000000 12.020619 40.688616 14.847492 6.414616 40.722745 28.385834 10.421161 10.421161 
