x 0 1 2 3 4 5 6 7 8 
1140 298326 28666 17 0 0 1137856 56143 786613 1934046 
1150 300890 28995 17 0 0 1147675 56702 793391 1951188 
1160 303630 29231 17 0 0 1157566 57167 800330 1968093 
1170 306215 29512 17 0 0 1167469 57654 807236 1984962 
1180 308982 29771 17 0 0 1177623 58105 814182 2001806 
1190 311548 30068 17 0 0 1187726 58647 821064 2018566 
1200 314245 30304 17 0 0 1197587 59084 828177 2035410 
1210 316834 30556 20 0 0 1207727 59537 835211 2052166 
1220 319368 30803 20 0 0 1217710 60019 842083 2069375 
1230 321886 31072 20 0 0 1227700 60530 849039 2086379 
1240 324466 31328 20 0 0 1238008 61006 855844 2103170 
1250 327087 31607 20 0 0 1247706 61438 862756 2120512 
1260 329754 31881 20 0 0 1257913 61941 869638 2137171 
1270 332297 32144 20 0 0 1267666 62419 876513 2154531 
1280 334976 32374 20 0 0 1277578 62833 883458 2171555 
1290 337594 32629 21 0 0 1287633 63348 890474 2188434 
1300 340289 32846 21 0 0 1298123 63755 897394 2204840 
1310 342914 33102 27 0 0 1308053 64265 904316 2221887 
1320 345586 33369 27 0 0 1317975 64781 911291 2238680 
1330 348139 33676 27 0 0 1328146 65325 918199 2255357 
1340 350822 33973 27 0 0 1337708 65868 925047 2272458 
1350 353349 34292 27 0 0 1347514 66419 931885 2289620 
1360 355910 34618 27 0 0 1357367 66972 938839 2306505 
1370 358471 34914 27 0 0 1367226 67495 945769 2323394 
1380 361013 35230 27 0 0 1377119 68059 952698 2340337 
1390 363511 35574 27 0 0 1386524 68724 959527 2357554 
1400 366059 35857 27 0 0 1396355 69256 966350 2374715 
1410 368588 36147 27 0 0 1406135 69787 973146 2391881 
1420 371025 36454 27 0 0 1416266 70429 980032 2408551 
1430 373587 36743 29 0 0 1426465 71012 986881 2425370 
1440 376248 37050 29 0 0 1436078 71636 993572 2442530 
1450 378801 37380 29 0 0 1445725 72266 1000334 2459652 
1460 381244 37737 32 0 0 1455585 72911 1006969 2476678 
1470 383481 38168 38 0 0 1464799 73770 1013370 2494577 
1480 386054 38440 38 0 0 1474912 74214 1020342 2511328 
1490 388555 38717 38 0 0 1484730 74812 1027220 2528353 
1500 391159 38960 38 0 0 1494640 75279 1034181 2545379 
1510 393788 39219 38 0 0 1504223 75808 1040920 2562932 
1520 396442 39536 38 0 0 1513898 76354 1047825 2579954 
1530 399089 39778 38 0 0 1524028 76807 1054776 2596816 
1540 401591 40122 38 0 0 1533458 77428 1061560 2614202 
1550 404134 40451 38 0 0 1543243 78043 1068309 2631375 
1560 406700 40698 40 0 0 1552889 78515 1075233 2648713 
1570 409326 40939 40 0 0 1563242 78990 1082212 2665208 
1580 411936 41227 40 0 0 1573243 79644 1088995 2682022 
1590 414434 41532 40 0 0 1582920 80266 1095730 2699283 
1600 416900 41857 40 0 0 1592615 80862 1102544 2716599 
1610 419454 42161 40 0 0 1602623 81415 1109284 2733612 
1620 422017 42438 40 0 0 1612601 81930 1116249 2750445 
1630 424528 42744 40 0 0 1622661 82463 1122906 2767433 
1640 427122 43004 40 0 0 1632477 83037 1129729 2784519 
1650 429664 43292 40 0 0 1642757 83625 1136822 2800957 
1660 432238 43576 40 0 0 1652850 84208 1143672 2817697 
1670 434723 43892 40 0 0 1662763 84881 1150615 2834514 
1680 437323 44184 40 0 0 1672422 85486 1157571 2851588 
1690 439873 44525 40 0 0 1682261 86106 1164289 2868639 
1700 442291 44852 40 0 0 1691746 86700 1171127 2886020 
1710 444739 45208 40 0 0 1701336 87374 1178036 2903287 
1720 447047 45590 42 0 0 1710924 88153 1184509 2920753 
1730 449565 45843 42 0 0 1720977 88625 1191481 2937790 
1740 452139 46104 42 0 0 1730745 89205 1198270 2954904 
1750 454720 46370 42 0 0 1741170 89775 1205137 2971403 
1760 457272 46620 42 0 0 1751179 90336 1212093 2988155 
1770 459954 46857 42 0 0 1761185 90787 1219223 3004821 
1780 462605 47101 42 0 0 1771114 91245 1226128 3021740 
1790 465223 47339 44 0 0 1781180 91744 1233151 3038449 
1800 467960 47577 44 0 0 1791291 92251 1240082 3055049 
1810 470482 47879 45 0 0 1801053 92845 1246820 3072103 
1820 473138 48157 45 0 0 1811084 93364 1253658 3088978 
1830 475674 48462 45 0 0 1820934 93926 1260478 3106136 
1840 478106 48753 45 0 0 1830746 94496 1267250 3123370 
1850 480534 49073 45 0 0 1840254 95088 1273952 3140980 
1860 483104 49335 45 0 0 1849818 95682 1280659 3158345 
1870 485622 49645 45 0 0 1859729 96293 1287208 3175504 
1880 488082 49961 45 0 0 1869754 96890 1294028 3192456 
1890 490421 50349 45 0 0 1879144 97622 1300565 3210089 
1900 492675 50723 47 0 0 1888576 98403 1306952 3227825 
1910 495164 51049 47 0 0 1898381 98969 1313568 3245060 
1920 497672 51349 47 0 0 1908077 99564 1320190 3262541 
1930 500151 51642 47 0 0 1917817 100137 1326826 3280020 
1940 502635 51964 47 0 0 1927433 100753 1333545 3297370 
1950 505082 52281 47 0 0 1937866 101317 1340306 3314084 
1960 507604 52616 47 0 0 1947262 101936 1346903 3331685 
1970 510029 52949 47 0 0 1957195 102500 1353528 3348962 
1980 512489 53279 47 0 0 1966935 103128 1360142 3366183 
1990 514843 53648 47 0 0 1976146 103841 1366727 3383955 
2000 517301 53964 54 0 0 1985872 104490 1373434 3401287 
2010 519868 54213 54 0 0 1995744 104987 1380290 3418392 
2020 522386 54542 54 0 0 2005684 105555 1387032 3435442 
2030 524920 54863 54 0 0 2015547 106098 1393689 3452600 
2040 527456 55160 54 0 0 2025182 106669 1400475 3470077 
2050 529961 55470 54 0 0 2034931 107245 1407252 3487305 
2060 532505 55786 54 0 0 2044668 107813 1413843 3504603 
2070 535047 56099 54 0 0 2054312 108412 1420559 3521942 
2080 537404 56498 54 0 0 2064359 109160 1427135 3538871 
2090 539847 56861 60 0 0 2073899 109847 1433799 3556225 
2100 542322 57186 60 0 0 2083909 110429 1440525 3573141 
2110 544727 57486 60 0 0 2093898 111067 1447422 3590166 
2120 547208 57805 60 0 0 2103330 111671 1454408 3607485 
2130 549725 58094 60 0 0 2112775 112243 1461173 3624872 
2140 551446 58748 105 0 0 2121008 113743 1466889 3643472 
2150 549906 60490 525 13 0 2122513 119120 1468484 3668739 
2160 548357 62214 942 30 0 2123938 124669 1470051 3693734 
2170 546818 63928 1362 59 0 2125021 130211 1471613 3719177 
2180 545293 65582 1827 96 0 2126080 135767 1473063 3744635 
2190 543874 67193 2287 125 0 2127487 141112 1474751 3769790 
2200 542431 68448 2979 161 0 2128759 146220 1476060 3796118 
2210 540794 70558 3179 161 0 2130520 151587 1477854 3820735 
2220 539602 72404 3402 162 0 2132858 156553 1479995 3844920 
2230 538048 74261 3775 167 0 2134150 161823 1481496 3870498 
2240 536559 75925 4220 199 0 2135485 167215 1483071 3895734 
2250 535067 77627 4661 219 0 2136507 172755 1484690 3920938 
2260 533682 79339 5053 227 0 2138132 178109 1486593 3945510 
2270 532083 81059 5524 251 0 2139319 183578 1488081 3970893 
2280 530785 82714 5951 252 0 2140714 188816 1489861 3996048 
2290 529277 84358 6406 252 0 2141782 194236 1491379 4021776 
2300 527729 85934 6945 252 0 2143031 199503 1492842 4047652 
2310 526362 87688 7324 258 0 2144949 204724 1494690 4072215 
2320 524855 89366 7758 293 0 2146086 209915 1496278 4098031 
2330 523249 91065 8261 304 0 2147152 215332 1497705 4123655 
2340 521727 92762 8702 316 0 2148645 220664 1499195 4148958 
2350 520274 94405 9166 334 0 2149783 225934 1500636 4174680 
2360 518850 96021 9606 353 0 2151030 231343 1502254 4200076 
2370 517319 97676 10084 373 0 2152464 236687 1503889 4225382 
2380 515839 99390 10501 388 0 2154008 241994 1505606 4250388 
2390 514209 101278 10874 401 0 2155475 247248 1507118 4275811 
2400 512591 103112 11308 402 0 2156777 252475 1508693 4301369 
2410 510976 104840 11778 405 0 2157925 257827 1510227 4327002 
2420 509475 106485 12236 405 0 2159273 263211 1511712 4352528 
2430 508021 108075 12719 407 0 2160407 268660 1513221 4378221 
2440 506357 109924 13181 408 0 2161593 274209 1514786 4403240 
2450 504797 111632 13666 411 0 2162815 279603 1516290 4428597 
2460 503183 113435 14098 414 0 2164353 285241 1517807 4453379 
2470 501553 115202 14575 417 0 2165421 290772 1519299 4478703 
2480 500176 116931 14963 420 0 2167203 296064 1521068 4503395 
2490 499044 118500 15339 422 0 2169428 301038 1523103 4527810 
2500 497505 120149 15789 433 4 2170719 306393 1524597 4553295 
2510 496131 121798 16245 439 4 2172393 311582 1526369 4578174 
2520 494666 123407 16728 463 4 2173600 316938 1527894 4603648 
2530 493361 125198 17034 481 4 2175535 322477 1529739 4627631 
2540 491767 127223 17299 493 4 2177311 327857 1531480 4652201 
2550 490174 129142 17636 509 4 2178703 333267 1532995 4677367 
2560 488675 130881 18006 542 5 2180125 338718 1534495 4702518 
2570 487144 132626 18413 561 5 2181523 344196 1535991 4727719 
2580 485619 134309 18875 573 5 2182724 349578 1537461 4753335 
2590 484028 136116 19299 590 5 2183960 354979 1539000 4778726 
2600 482476 137703 19814 606 5 2185067 360609 1540409 4804110 
2610 480820 139483 20272 616 5 2186312 366203 1541906 4829342 
2620 479184 141286 20684 634 5 2187459 371612 1543414 4854959 
2630 477567 143120 21085 643 5 2188325 376999 1544876 4880839 
2640 475941 144911 21532 648 5 2189342 382467 1546345 4906434 
2650 474452 146592 21968 689 6 2190573 387774 1547918 4931813 
2660 473000 148290 22400 695 6 2191907 393244 1549559 4956952 
2670 471465 150013 22852 708 6 2193390 398619 1551158 4982121 
2680 469853 151749 23344 715 6 2194551 404124 1552600 5007467 
2690 468291 153496 23770 718 6 2195679 409566 1554143 5032864 
2700 466741 155251 24262 722 6 2197072 415138 1555762 5057626 
2710 465248 157012 24662 731 6 2198478 420668 1557336 5082544 
2720 463682 158602 25152 767 8 2199630 426149 1558708 5108140 
2730 462037 160480 25509 806 8 2201127 431582 1560188 5133185 
2740 460516 162157 25918 850 8 2202808 436936 1561588 5158559 
2750 459025 163838 26295 901 8 2203854 442535 1563064 5183913 
2760 457549 165518 26729 921 8 2205019 447922 1564520 5209620 
2770 455967 167224 27159 962 8 2206036 453253 1565952 5235454 
2780 454285 169035 27583 988 8 2207244 458730 1567439 5260865 
2790 452741 170777 27978 1022 8 2208517 464219 1568901 5286313 
2800 451272 172625 28305 1034 8 2210376 469660 1570729 5310683 
2810 449708 174268 28814 1052 9 2211509 474906 1572173 5336640 
2820 448181 175910 29284 1059 9 2212622 480360 1573607 5362270 
2830 446646 177657 29678 1069 9 2213749 485714 1575134 5387951 
